code,iso,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
348,HUN,Hungary,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
352,ISL,Iceland,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
356,IND,India,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
360,IDN,Indonesia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
364,IRN,Iran,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
368,IRQ,Iraq,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
372,IRL,Ireland,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
833,IMN,Isle of Man,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
376,ISR,Israel,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
380,ITA,Italy,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
388,JAM,Jamaica,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
392,JPN,Japan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
832,JEY,Jersey,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
400,JOR,Jordan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
398,KAZ,Kazakhstan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
404,KEN,Kenya,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
296,KIR,Kiribati,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
689,XKX,Kosovo,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
414,KWT,Kuwait,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
417,KGZ,Kyrgyzstan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
418,LAO,Laos,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
428,LVA,Latvia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
422,LBN,Lebanon,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
426,LSO,Lesotho,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
430,LBR,Liberia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
434,LBY,Libya,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
438,LIE,Liechtenstein,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
440,LTU,Lithuania,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
442,LUX,Luxembourg,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
